"ÍSAT2008","ÍSAT2008_áp","Bálkur","Lýsing","Inniheldur","Inniheldur_einnig","Inniheldur_ekki"
"90.02.0","90020","R","Þjónusta við sviðslistir","Til þessarar greinar telst þjónusta við sviðslistir vegna uppfærslna á leiksýningum, óperusýningum, listdanssýningum eða tónleikahaldi o.þ.h. - Starfsemi leikstjóra, framleiðenda, sviðshönnuða og leikmyndasmiða, sviðsmanna, ljósamanna o.þ.h.","Til þessarar greinar telst einnig starfsemi framleiðenda eða skipuleggjenda listflutnings.","Til þessarar greinar telst ekki: - Starfsemi umboðsmanna eða umboðsskrifstofa á sviði leiklistar eða lista, sjá 74.90 - Hlutverkaval, sjá 78.10"
"90.03.0","90030","R","Listsköpun","Til þessarar greinar telst: - Starfsemi listamanna s.s. myndhöggvara, málara, skopmyndateiknara og leturgrafara - Starfsemi rithöfunda, á öllum sviðum bókmennta, þ.m.t. tæknileg skrif - Starfsemi sjálfstætt starfandi blaðamanna - Forvarsla og lagfærin",,"Til þessarar greinar telst ekki: - Framleiðsla á styttum, öðrum en frumgerðum listaverka, sjá 23.70 - Lagfæring orgela og annarra sögulegra hljóðfæra, sjá 33.19 - Framleiðsla kvikmynda og myndbanda, sjá 59.11, 59.12"
"90.04.0","90040","R","Rekstur húsnæðis og annarrar aðstöðu fyrir menningarstarfsemi","Til þessarar greinar telst: - Rekstur tónleika- og leikhúsa og annarrar aðstöðu fyrir menningarstarfsemi",,"Til þessarar greinar telst ekki: - Rekstur kvikmyndahúsa, sjá 59.14 - Starfsemi við miðasölu, sjá 79.90 - Rekstur safna, sjá 91.02"
"91.01.0","91010","R","Starfsemi bóka- og skjalasafna","Til þessarar greinar telst: - Starfsemi almenningsbókasafna og sérhæfðra bókasafna við ýmsar stofnanir og fyrirtæki - Starfsemi skjalasafna  - Flokkun og skráning - Heimildarleit fyrir notendur - Þjónusta ljósmynda- og hreyfimyndasafna",,
"91.02.0","91020","R","Starfsemi safna","Til þessarar greinar telst: - Starfsemi safna annarra en bóka- og skjalasafna, s.s. listasafna, minjasafna, náttúrugripasafna og tæknisafna.",,"Til þessarar greinar telst ekki: - Starfsemi listmunahúsa og listverkasala, sjá 47.78.3 - Viðgerðir á listaverkum og safnmunum, sjá 90.03 - Starfsemi bókasafna og skjalasafna, sjá 91.01"
"91.03.0","91030","R","Rekstur sögulegra staða og bygginga og áþekkra ferðamannastaða","Til þessarar greinar telst: - Rekstur og varðveisla sögulegra staða og bygginga",,"Til þessarar greinar telst ekki: - Endurnýjun og viðgerðir á sögulegum stöðum og byggingum, sjá bálk F - Rekstur þjóðgarða og varðveisla náttúruverndarsvæða, sjá 91.04"
"91.04.0","91040","R","Starfsemi grasagarða, dýragarða og þjóðgarða","Til þessarar greinar telst: - Rekstur grasa- og dýragarða - Rekstur þjóðgarða, þ.m.t. varðveisla náttúruverndarsvæða",,"Til þessarar greinar telst ekki: - Skrúðgarðyrkja og garðrækt, sjá 81.30"
"92.00.0","92000","R","Fjárhættu- og veðmálastarfsemi","Til þessarar greinar telst fjárhættu- og veðmálastarfsemi s.s.: - Sala á happdrættismiðum, lottó - Rekstur spilakassa - Rekstur fjárhættuspila á Netinu - Starfsemi veðmangara og önnur veðmálastarfsemi - Rekstur spilavíta",,
"93.11.0","93110","R","Rekstur íþróttamannvirkja","Til þessarar greinar telst: - Rekstur sundstaða - Rekstur íþróttahúsa - Rekstur knattspyrnuvalla, golfvalla, skíðasvæða, frjálsíþróttavalla, keilusala og annarrar aðstöðu til íþróttaviðburða innan húss og utan",,"Til þessarar greinar telst ekki: - Leiga á tómstunda- og íþróttabúnaði, sjá 77.21 - Starfsemi heilsuræktarstöðva, sjá 93.13 - Starfsemi almenningsgarða og baðstranda, sjá 93.29"
"93.12.0","93120","R","Starfsemi íþróttafélaga","Til þessarar greinar telst starfsemi íþróttafélaga sem gefa meðlimum sínum tækifæri til íþróttaiðkunar, hvort sem þau eru atvinnumanna-, hálfatvinnumanna- eða áhugamannafélög.  Til þessarar greinar telst: - Rekstur knattspyrnufélaga, keilufélaga, sundf",,"Til þessarar greinar telst ekki: - Íþróttakennsla, sjá 85.51 - Rekstur íþróttamannvirkja, sjá 93.11"
